WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (110.1640846 -7.8266798)",1532.0,14.0,Kabupaten Kulon Progo,3401.0,2.0,-7.8266798,110.1640846,1.0
"POINT (110.3341111 -7.8846111)",1533.0,14.0,Kabupaten Bantul,3402.0,2.0,-7.8846111,110.3341111,1.0
"POINT (110.6168921 -8.0305091)",1534.0,14.0,Kabupaten Gunung Kidul,3403.0,2.0,-8.0305091,110.6168921,1.0
"POINT (110.368797 -7.797224)",1536.0,14.0,Kota Yogyakarta,3471.0,2.0,-7.797224,110.368797,1.0
