WKT,nid,parent_nid,name,serial,type,latitude,longitude,status
"POINT (106.807915 -6.332973)",1466.0,11.0,Kota Jakarta Selatan,3174.0,2.0,-6.332973,106.807915,1.0
"POINT (106.9028502 -6.2374833)",1467.0,11.0,Kota Jakarta Timur,3175.0,2.0,-6.2374833,106.9028502,1.0
"POINT (106.8252593 -6.2224659)",1468.0,11.0,Kota Jakarta Pusat,3171.0,2.0,-6.2224659,106.8252593,1.0
"POINT (106.7579679 -6.158979)",1469.0,11.0,Kota Jakarta Barat,3173.0,2.0,-6.158979,106.7579679,1.0
"POINT (106.8609647 -6.1432775)",1470.0,11.0,Kota Jakarta Utara,3172.0,2.0,-6.1432775,106.8609647,1.0
"POINT (106.5071982 -5.7985266)",1465.0,11.0,Kabupaten Kepulauan Seribu,3101.0,2.0,-5.7985266,106.5071982,1.0
